date;year;day_number;auction_weight_kg;auction_price_usd;contract_weight_kg;contract_price_usd;combined_weight_kg;combined_price_usd;rejection_rate_auction;rejection_rate_contract;month;week;quarter;price_gap_ac;weight_gap_ac;total_rejection_pressure;rolling_avg_price;rolling_rejection_rate
2025/07/22;2025;96;19507119;3.57;328566854.0;3.31;348073973.0;3.33;15.77;2.14;7;30;3;0.2599999999999998;-309059735.0;1010760334.19;3.33;8.955
2025/07/21;2025;95;19467767;3.57;328263865.0;3.31;347731632.0;3.33;15.77;2.14;7;30;3;0.2599999999999998;-308796098.0;1009491356.69;3.33;8.955
2025/07/18;2025;94;19427361;3.57;327847311.0;3.32;347274672.0;3.33;15.77;2.14;7;29;3;0.25;-308419950.0;1007962728.51;3.33;8.955
2025/07/17;2025;93;19397720;3.58;326699086.0;3.32;346096806.0;3.33;15.77;2.14;7;29;3;0.26000000000000023;-307301366.0;1005038088.44;3.33;8.955
2025/07/16;2025;92;19328162;3.58;325608711.0;3.32;344936873.0;3.33;15.77;2.14;7;29;3;0.26000000000000023;-306280549.0;1001607756.2800001;3.33;8.955
2025/07/15;2025;91;19238128;3.59;324765653.0;3.32;344003781.0;3.33;15.77;2.14;7;29;3;0.27;-305527525.0;998383775.98;3.33;8.955
2025/07/14;2025;90;19136319;3.61;323785155.0;3.32;342921474.0;3.34;15.77;2.14;7;29;3;0.29000000000000004;-304648836.0;994679982.33;3.3314285714285714;8.955
2025/07/11;2025;89;19041953;3.6;322802744.0;3.32;341844697.0;3.34;15.77;2.14;7;28;3;0.28000000000000025;-303760791.0;991089470.97;3.332857142857143;8.955
2025/07/10;2025;88;18957334;3.6;321311846.0;3.32;340269180.0;3.34;15.77;2.14;7;28;3;0.28000000000000025;-302354512.0;986564507.6200001;3.334285714285714;8.955
2025/07/09;2025;87;18825426;3.61;320091186.0;3.32;338916612.0;3.34;15.77;2.14;7;28;3;0.29000000000000004;-301265760.0;981872106.0600001;3.3357142857142854;8.955
2025/07/08;2025;86;18622019;3.62;318074267.0;3.33;336696286.0;3.34;15.77;2.14;7;28;3;0.29000000000000004;-299452248.0;974348171.01;3.337142857142857;8.955
2025/07/07;2025;85;18459405;3.63;316375244.0;3.33;334834649.0;3.35;15.77;2.14;7;28;3;0.2999999999999998;-297915839.0;968147839.01;3.3400000000000003;8.955
2025/07/04;2025;84;18330327;3.64;314925233.0;3.33;333255560.0;3.35;15.77;2.14;7;27;3;0.31000000000000005;-296594906.0;963009255.4100001;3.3428571428571425;8.955
2025/07/02;2025;82;17964623;3.65;310777322.0;3.33;328741945.0;3.35;15.77;2.14;7;27;3;0.31999999999999984;-292812699.0;948365573.79;3.3442857142857143;8.955
2025/07/01;2025;81;17754999;3.65;308487860.0;3.34;326242859.0;3.35;15.77;2.14;7;27;3;0.31000000000000005;-290732861.0;940160354.6300001;3.345714285714286;8.955
2025/06/30;2025;80;17553362;3.66;306173138.0;3.34;323726500.0;3.35;15.77;2.14;6;27;2;0.3200000000000003;-288619776.0;932027034.0600001;3.347142857142857;8.955
2025/06/27;2025;79;17352328;3.66;304055552.0;3.34;321407880.0;3.35;15.77;2.14;6;26;2;0.3200000000000003;-286703224.0;924325093.8400002;3.3485714285714288;8.955
2025/06/26;2025;78;17222679;3.66;302001998.0;3.34;319224677.0;3.35;15.77;2.14;6;26;2;0.3200000000000003;-284779319.0;917885923.55;3.35;8.955
2025/06/25;2025;77;17048348;3.66;299774634.0;3.34;316822982.0;3.35;15.77;2.14;6;26;2;0.3200000000000003;-282726286.0;910370164.72;3.35;8.955
2025/06/24;2025;76;16841985;3.65;297105144.0;3.34;313947129.0;3.36;15.77;2.14;6;26;2;0.31000000000000005;-280263159.0;901403111.6100001;3.3514285714285714;8.955
2025/06/23;2025;75;16645154;3.65;294584707.0;3.34;311229861.0;3.36;15.77;2.14;6;26;2;0.31000000000000005;-277939553.0;892905351.56;3.3528571428571428;8.955
2025/06/20;2025;74;16457544;3.65;292663422.0;3.34;309120966.0;3.36;15.77;2.14;6;25;2;0.31000000000000005;-276205878.0;885835191.96;3.3542857142857136;8.955
2025/06/19;2025;73;16272228;3.65;289979001.0;3.34;306251229.0;3.36;15.77;2.14;6;25;2;0.31000000000000005;-273706773.0;877168097.7;3.355714285714286;8.955
2025/06/18;2025;72;16038493;3.64;286945401.0;3.34;302983894.0;3.36;15.77;2.14;6;25;2;0.30000000000000027;-270906908.0;866990192.75;3.357142857142857;8.955
2025/06/17;2025;71;15824473;3.64;283334151.0;3.34;299158624.0;3.36;15.77;2.14;6;25;2;0.30000000000000027;-267509678.0;855887022.3499999;3.358571428571429;8.955
2025/06/16;2025;70;15596965;3.63;279848519.0;3.34;295445484.0;3.36;15.77;2.14;6;25;2;0.29000000000000004;-264251554.0;844839968.71;3.36;8.955
2025/06/13;2025;69;15413523;3.63;277087612.0;3.34;292501135.0;3.36;15.77;2.14;6;24;2;0.29000000000000004;-261674089.0;836038747.3900001;3.36;8.955
2025/06/12;2025;68;15221387;3.63;273632675.0;3.34;288854062.0;3.36;15.77;2.14;6;24;2;0.29000000000000004;-258411288.0;825615197.49;3.36;8.955
2025/06/11;2025;67;14999284;3.63;270027558.0;3.35;285026842.0;3.36;15.77;2.14;6;24;2;0.2799999999999998;-255028274.0;814397682.8;3.36;8.955
2025/06/10;2025;66;14718565;3.63;266170887.0;3.35;280889452.0;3.36;15.77;2.14;6;24;2;0.2799999999999998;-251452322.0;801717468.23;3.36;8.955
2025/06/09;2025;65;14415220;3.62;261987395.0;3.35;276402615.0;3.36;15.77;2.14;6;24;2;0.27;-247572175.0;787981044.7;3.36;8.955
2025/06/06;2025;64;14145013;3.62;258600207.0;3.35;272745220.0;3.36;15.77;2.14;6;23;2;0.27;-244455194.0;776471297.99;3.36;8.955
2025/06/05;2025;63;13959222;3.61;254593086.0;3.35;268552308.0;3.37;15.77;2.14;6;23;2;0.2599999999999998;-240633864.0;764966134.98;3.361428571428571;8.955
2025/06/04;2025;62;13673089;3.61;250344166.0;3.35;264017255.0;3.37;15.77;2.14;6;23;2;0.2599999999999998;-236671077.0;751361128.77;3.3628571428571425;8.955
2025/06/03;2025;61;13391378;3.6;245254539.0;3.35;258645917.0;3.37;15.77;2.14;6;23;2;0.25;-231863161.0;736026744.52;3.3642857142857143;8.955
2025/06/02;2025;60;13009762;3.59;240112374.0;3.36;253122136.0;3.37;15.77;2.14;6;23;2;0.22999999999999998;-227102612.0;719004427.1;3.365714285714286;8.955
2025/05/30;2025;59;12862952;3.59;236262926.0;3.36;249125878.0;3.37;15.77;2.14;5;22;2;0.22999999999999998;-223399974.0;708451414.6800001;3.367142857142857;8.955
2025/05/29;2025;58;12576863;3.59;231071341.0;3.36;243648204.0;3.37;15.77;2.14;5;22;2;0.22999999999999998;-218494478.0;692829799.25;3.3685714285714288;8.955
2025/05/27;2025;56;11897434;3.58;218673164.0;3.36;230570598.0;3.38;15.77;2.14;5;22;2;0.2200000000000002;-206775730.0;655583105.1400001;3.371428571428571;8.955
2025/05/23;2025;55;11554815;3.57;212883551.0;3.37;224438366.0;3.38;15.77;2.14;5;21;2;0.19999999999999973;-201328736.0;637790231.69;3.372857142857143;8.955
2025/05/22;2025;54;11280130;3.57;207725858.0;3.37;219005988.0;3.38;15.77;2.14;5;21;2;0.19999999999999973;-196445728.0;622420986.22;3.3742857142857146;8.955
2025/05/21;2025;53;10990244;3.56;202311637.0;3.37;213301881.0;3.38;15.77;2.14;5;21;2;0.18999999999999995;-191321393.0;606263051.06;3.3757142857142854;8.955
2025/05/20;2025;52;10679581;3.56;196486906.0;3.37;207166487.0;3.38;15.77;2.14;5;21;2;0.18999999999999995;-185807325.0;588898971.21;3.377142857142857;8.955
2025/05/19;2025;51;10347505;3.55;190333836.0;3.37;200681341.0;3.38;15.77;2.14;5;21;2;0.17999999999999972;-179986331.0;570494562.89;3.378571428571429;8.955
2025/05/15;2025;49;9808484;3.53;179432007.0;3.37;189240491.0;3.38;15.77;2.14;5;20;2;0.1599999999999997;-169623523.0;538664287.6600001;3.38;8.955
2025/05/14;2025;48;9546823;3.52;173480466.0;3.38;183027289.0;3.38;15.77;2.14;5;20;2;0.14000000000000012;-163933643.0;521801595.95000005;3.38;8.955
2025/05/13;2025;47;9222656;3.52;167444283.0;3.38;176666939.0;3.38;15.77;2.14;5;20;2;0.14000000000000012;-158221627.0;503772050.74;3.38;8.955
2025/05/12;2025;46;8849663;3.51;161046691.0;3.38;169896354.0;3.39;15.77;2.14;5;20;2;0.1299999999999999;-152197028.0;484199104.25;3.3814285714285712;8.955
2025/05/09;2025;45;8507401;3.5;155172308.0;3.38;163679709.0;3.39;15.77;2.14;5;19;2;0.1200000000000001;-146664907.0;466230452.89;3.382857142857143;8.955
2025/05/08;2025;44;8197574;3.49;149045532.0;3.38;157243106.0;3.39;15.77;2.14;5;19;2;0.11000000000000032;-140847958.0;448233180.46000004;3.3842857142857143;8.955
2025/05/07;2025;43;7864051;3.48;142801787.0;3.39;150665838.0;3.39;15.77;2.14;5;19;2;0.08999999999999986;-134937736.0;429611908.45;3.3857142857142857;8.955
2025/05/06;2025;42;7554487;3.47;136240220.0;3.39;143794707.0;3.4;15.77;2.14;5;19;2;0.08000000000000007;-128685733.0;410688330.79;3.3885714285714283;8.955
2025/05/05;2025;41;7239990;3.46;129791967.0;3.4;137031957.0;3.4;15.77;2.14;5;19;2;0.06000000000000005;-122551977.0;391929451.68;3.391428571428572;8.955
2025/05/02;2025;40;6871753;3.44;123546917.0;3.4;130418670.0;3.4;15.77;2.14;5;18;2;0.040000000000000036;-116675164.0;372757947.19000006;3.3942857142857146;8.955
2025/04/30;2025;39;6493516;3.43;116396231.0;3.4;122889747.0;3.4;15.77;2.14;4;18;2;0.03000000000000025;-109902715.0;351490681.65999997;3.3957142857142855;8.955
